x,y,T,u,v,p
5.65,0.1,357.879,0.00799507,-0.00575728,-0.466888
5.65,0.15,355.867,0.0109268,-0.0116642,-0.467239
5.65,0.2,352.321,0.0124237,-0.0185475,-0.467478
5.65,0.25,347.964,0.0125148,-0.0256305,-0.467624
5.65,0.3,343.506,0.0113488,-0.0322346,-0.467665
5.65,0.35,339.363,0.00909523,-0.0377548,-0.467598
5.65,0.4,335.684,0.0059129,-0.0416825,-0.46742
5.65,0.45,332.47,0.00195159,-0.0436125,-0.467145
5.65,0.5,329.684,-0.00263337,-0.0432471,-0.466807
5.65,0.55,327.326,-0.00766777,-0.0404011,-0.466466
5.65,0.6,325.392,-0.0129474,-0.0350094,-0.466213
5.65,0.65,323.841,-0.0182253,-0.0271395,-0.46617
5.65,0.7,322.652,-0.0231889,-0.0170133,-0.46648
5.65,0.75,321.861,-0.0274152,-0.00504498,-0.467295
5.65,0.8,321.641,-0.0302933,0.00808778,-0.468757
5.65,0.85,322.329,-0.0308522,0.0213287,-0.470953
5.65,0.9,324.431,-0.027406,0.0330722,-0.473872
5.65,0.95,328.668,-0.0167346,0.0409568,-0.47733
5.65,1,335.583,0.00768386,0.0423701,-0.480791
5.7,0,341.815,0.00368837,-0.0006993,-0.465741
5.7,0.05,342.153,0.00729567,-0.00236777,-0.466132
5.7,0.1,342.112,0.0136521,-0.00719019,-0.466758
5.7,0.15,340.352,0.0180112,-0.0142343,-0.467148
5.7,0.2,336.927,0.0200833,-0.0222484,-0.467416
5.7,0.25,332.625,0.0199632,-0.0303353,-0.467604
5.7,0.3,328.22,0.0178913,-0.0377457,-0.467702
5.7,0.35,324.165,0.0141446,-0.0438276,-0.4677
5.7,0.4,320.639,0.00899734,-0.0480528,-0.467591
5.7,0.45,317.684,0.00272047,-0.0500271,-0.467377
5.7,0.5,315.324,-0.0044047,-0.049494,-0.467083
5.7,0.55,313.518,-0.0120724,-0.0463363,-0.466763
5.7,0.6,312.15,-0.019939,-0.0405782,-0.466504
5.7,0.65,311.131,-0.0276048,-0.0323896,-0.466419
5.7,0.7,310.419,-0.0345776,-0.0220979,-0.466645
5.7,0.75,310.028,-0.0402061,-0.010215,-0.467321
5.7,0.8,310.095,-0.0435664,0.00251194,-0.468567
5.7,0.85,310.94,-0.0432656,0.015025,-0.470441
5.7,0.9,313.114,-0.0371145,0.0258792,-0.472889
5.7,0.95,317.497,-0.0215703,0.0332562,-0.475684
5.7,1,325.052,0.0091053,0.0354593,-0.47836
5.75,0,330.37,0.00599623,-0.000797919,-0.465715
5.75,0.05,330.831,0.0111848,-0.00266063,-0.466149
5.75,0.1,331.039,0.0201134,-0.0079897,-0.466837
5.75,0.15,329.522,0.0259388,-0.0156648,-0.467261
5.75,0.2,326.33,0.0285026,-0.024268,-0.467564
5.75,0.25,322.297,0.0280171,-0.0328242,-0.467794
5.75,0.3,318.227,0.0248495,-0.0405508,-0.467944
5.75,0.35,314.591,0.0194128,-0.04679,-0.467995
5.75,0.4,311.572,0.0121243,-0.0510333,-0.467929
5.75,0.45,309.209,0.00340267,-0.0529309,-0.467743
5.75,0.5,307.506,-0.00632127,-0.0522919,-0.467452
5.75,0.55,306.352,-0.0165928,-0.0490801,-0.467107
5.75,0.6,305.562,-0.0269207,-0.0434084,-0.466787
5.75,0.65,305.03,-0.0367551,-0.0355323,-0.466601
5.75,0.7,304.704,-0.0454425,-0.0258476,-0.46668
5.75,0.75,304.586,-0.0521425,-0.0148995,-0.467153
5.75,0.8,304.773,-0.0556956,-0.00340526,-0.468126
5.75,0.85,305.539,-0.0544252,0.0077097,-0.469643
5.75,0.9,307.434,-0.0458689,0.017293,-0.47164
5.75,0.95,311.394,-0.0264342,0.0240411,-0.473899
5.75,1,318.572,0.00895417,0.0268594,-0.476032
5.8,0,322.205,0.00846549,-0.000820652,-0.465998
5.8,0.05,322.731,0.0153234,-0.00273793,-0.466447
5.8,0.1,323.116,0.0269324,-0.00820966,-0.46716
5.8,0.15,321.86,0.0342171,-0.0160454,-0.467606
5.8,0.2,319.014,0.0371932,-0.0247524,-0.467937
5.8,0.25,315.415,0.0362282,-0.0333221,-0.468204
5.8,0.3,311.871,0.031847,-0.0409693,-0.468392
5.8,0.35,308.839,0.0246245,-0.0470567,-0.468475
5.8,0.4,306.476,0.0151436,-0.0511173,-0.468427
5.8,0.45,304.783,0.0039896,-0.0528604,-0.468234
5.8,0.5,303.7,-0.00824375,-0.0521661,-0.467907
5.8,0.55,303.066,-0.0209468,-0.0490757,-0.467489
5.8,0.6,302.69,-0.0334845,-0.0437771,-0.467056
5.8,0.65,302.471,-0.0451742,-0.0365882,-0.466714
