x,y,z,T,u,v,w,p
0,3.75,1,300,1,0,0,0.32937
0,3.85,1,300,1,0,0,0.332383
0,3.95,1,300,1,0,0,0.336422
0,4.05,1,300,1,0,0,0.341716
0,4.15,1,300,1,0,0,0.348591
0,4.25,1,300,1,0,0,0.357526
0,4.35,1,300,1,0,0,0.369259
0,4.45,1,300,1,0,0,0.384997
0,4.55,1,300,1,0,0,0.406867
0,4.65,1,300,1,0,0,0.439034
0,4.75,1,300,1,0,0,0.491026
0,4.85,1,300,1,0,0,0.589758
0,4.95,1,300,1,0,0,0.871926
10,0,0,300.777,0.120345,-0.0179537,0,0
10,0.1,0,301.357,0.292327,-0.0984862,0,0
10,0.2,0,301.893,0.411846,-0.226655,0,0
10,0.3,0,302.058,0.504108,-0.337209,0,0
10,0.4,0,302.035,0.600134,-0.42429,0,0
10,0.5,0,301.9,0.699072,-0.490692,0,0
10,0.6,0,301.687,0.796439,-0.539492,0,0
10,0.7,0,301.419,0.887823,-0.57273,0,0
10,0.8,0,301.124,0.969365,-0.591863,0,0
10,0.9,0,300.83,1.03826,-0.598347,0,0
10,1,0,300.565,1.09323,-0.594021,0,0
10,0.05,1,300.969,0.186295,-0.042132,0,0
10,0.15,1,301.685,0.360402,-0.163384,0,0
10,0.25,1,302.008,0.458035,-0.284887,0,0
10,0.35,1,302.064,0.5515,-0.38356,0,0
10,0.45,1,301.979,0.649514,-0.459859,0,0
10,0.55,1,301.802,0.748235,-0.517143,0,0
10,0.65,1,301.559,0.843139,-0.557959,0,0
10,0.75,1,301.273,0.93003,-0.583975,0,0
10,0.85,1,300.975,1.00551,-0.596583,0,0
10,0.95,1,300.693,1.06751,-0.597401,0,0
10,1.05,0,300.452,1.11555,-0.588504,0,0
10,1.15,0,300.269,1.15078,-0.572319,0,0
10,1.25,0,300.146,1.17547,-0.551306,0,0
10,1.35,0,300.072,1.19228,-0.527611,0,0
10,1.45,0,300.032,1.20364,-0.502855,0,0
10,1.55,0,300.013,1.21148,-0.478114,0,0
10,1.65,0,300.005,1.21709,-0.454018,0,0
10,1.75,0,300.002,1.22129,-0.430894,0,0
10,1.85,0,300,1.22458,-0.408884,0,0
10,1.95,0,300,1.22723,-0.388023,0,0
10,2.05,0,300,1.2294,-0.368298,0,0
10,2.15,0,300,1.23123,-0.349671,0,0
10,2.25,0,300,1.23279,-0.332097,0,0
10,2.35,0,300,1.23415,-0.315525,0,0
10,2.45,0,300,1.23541,-0.299906,0,0
10,2.55,0,300,1.23662,-0.285194,0,0
10,2.65,0,300,1.23785,-0.271347,0,0
10,2.75,0,300,1.23919,-0.258322,0,0
10,2.85,0,300,1.24072,-0.246084,0,0
10,2.95,0,300,1.24251,-0.234597,0,0
10,3.05,0,300,1.24463,-0.223826,0,0
10,3.15,0,300,1.24713,-0.213735,0,0
10,3.25,0,300,1.25003,-0.204273,0,0
10,3.35,0,300,1.25315,-0.195369,0,0
10,3.45,0,300,1.25612,-0.186911,0,0
10,3.55,0,300,1.25816,-0.178724,0,0
10,3.65,0,300,1.25784,-0.170554,0,0
10,3.75,0,300,1.25286,-0.162048,0,0
10,3.85,0,300,1.23993,-0.15277,0,0
10,3.95,0,300,1.21473,-0.142239,0,0
10,4.05,0,300,1.17226,-0.130019,0,0
10,4.15,0,300,1.10758,-0.115835,0,0
10,4.25,0,300,1.01698,-0.0997294,0,0
10,4.35,0,300,0.899302,-0.0821632,0,0
10,4.45,0,300,0.757167,-0.0640338,0,0
10,4.55,0,300,0.597425,-0.0465344,0,0
10,4.65,0,300,0.430744,-0.0308833,0,0
10,4.75,0,300,0.270558,-0.0180076,0,0
10,4.85,0,300,0.131934,-0.00829953,0,0
10,4.95,0,300,0.0307555,-0.00188541,0,0
10,1.05,1,300.452,1.11555,-0.588504,0,0
10,1.15,1,300.269,1.15078,-0.572319,0,0
10,1.25,1,300.146,1.17547,-0.551306,0,0
10,1.35,1,300.072,1.19228,-0.527611,0,0
10,1.45,1,300.032,1.20364,-0.502855,0,0
10,1.55,1,300.013,1.21148,-0.478114,0,0
10,1.65,1,300.005,1.21709,-0.454018,0,0
10,1.75,1,300.002,1.22129,-0.430894,0,0
10,1.85,1,300,1.22458,-0.408884,0,0
10,1.95,1,300,1.22723,-0.388023,0,0
10,2.05,1,300,1.2294,-0.368298,0,0
10,2.15,1,300,1.23123,-0.349671,0,0
10,2.25,1,300,1.23279,-0.332097,0,0
10,2.35,1,300,1.23415,-0.315525,0,0
10,2.45,1,300,1.23541,-0.299906,0,0
10,2.55,1,300,1.23662,-0.285194,0,0
10,2.65,1,300,1.23785,-0.271347,0,0
10,2.75,1,300,1.23919,-0.258322,0,0
10,2.85,1,300,1.24072,-0.246084,0,0
10,2.95,1,300,1.24251,-0.234597,0,0
10,3.05,1,300,1.24463,-0.223826,0,0
10,3.15,1,300,1.24713,-0.213735,0,0
10,3.25,1,300,1.25003,-0.204273,0,0
